ip 当前地址
shijiazhuang 石家庄市
tangshan 唐山市
qinhuangdao 秦皇岛市
handan 邯郸市
xingtai 邢台市
baoding 保定市
zhangjiakou 张家口市
chengde 承德市
cangzhou 沧州市
langfang 廊坊市
hengshui 衡水市
taiyuan 太原市
datong 大同市
shuozhou 朔州市
xinzhou 忻州市
yangquan 阳泉市
luliang 吕梁市
jinzhong 晋中市
changzhi 长治市
jincheng 晋城市
linfen 临汾市
yuncheng 运城市
hohhot 呼和浩特市
baotou 包头市
wuhai 乌海市
chifeng 赤峰市
tongliao 通辽市
ordos 鄂尔多斯市
hulunbeier 呼伦贝尔市
banyannuoer 巴彦淖尔市
wulanchabu 乌兰察布市
shenyang 沈阳市
dalian 大连市
anshan 鞍山市
fushun 抚顺市
benxi 本溪市
dandong 丹东市
jinzhou 锦州市
yingkou 营口市
fuxin 阜新市
liaoyang 辽阳市
panjin 盘锦市
tieling 铁岭市
chaoyang 朝阳市
huludao 葫芦岛市
changchun 长春市
jilin 吉林市
siping 四平市
tonghua 通化市
baicheng 白城市
liaoyuan 辽源市
songyuan 松原市
baishan 白山市
harbin 哈尔滨市
qiqihar 齐齐哈尔市
mudanjiang 牡丹江市
jiamusi 佳木斯市
daqing 大庆市
jixi 鸡西市
shuangyashan 双鸭山市
yichun 伊春市
qitaihe 七台河市
hegang 鹤岗市
heihe 黑河市
suihua 绥化市
nanjing 南京市
wuxi 无锡市
xuzhou 徐州市
changzhou 常州市
suzhou 苏州市
nantong 南通市
lianyungang 连云港市
huaian 淮安市
yancheng 盐城市
yangzhou 扬州市
zhenjiang 镇江市
taizhou 泰州市
suqian 宿迁市
hangzhou 杭州市
ningbo 宁波市
wenzhou 温州市
shaoxing 绍兴市
huzhou 湖州市
jiaxing 嘉兴市
jinhua 金华市
quzhou 衢州市
taizhou 台州市
lishui 丽水市
zhoushan 舟山市
hefei 合肥市
wuhu 芜湖市
bengbu 蚌埠市
huainan 淮南市
maanshan 马鞍山市
huaibei 淮北市
tongling 铜陵市
anqing 安庆市
huangshan 黄山市
fuyang 阜阳市
suzhou 宿州市
chuzhou 滁州市
lu'an 六安市
xuancheng 宣城市
chizhou 池州市
bozhou 亳州市
fuzhou 福州市
xiamen 厦门市
zhangzhou 漳州市
quanzhou 泉州市
sanming 三明市
putian 莆田市
nanping 南平市
longyan 龙岩市
ningde 宁德市
nanchang 南昌市
jiujiang 九江市
shangrao 上饶市
fǔzhou 抚州市
yíchun 宜春市
jian 吉安市
danzhou 赣州市
jingdezhen 景德镇市
pingxiang 萍乡市
xinyu 新余市
yingtan 鹰潭市
jinan 济南市
qingdao 青岛市
zibo 淄博市
zaozhuang 枣庄市
dongying 东营市
yantai 烟台市
weifang 潍坊市
jining 济宁市
taian 泰安市
weihai 威海市
rizhao 日照市
binzhou 滨州市
dezhou 德州市
liaocheng 聊城市
linyi 临沂市
heze 菏泽市
zhengzhou 郑州市
kaifeng 开封市
luoyang 洛阳市
pingdingshan 平顶山市
anyang 安阳市
hebi 鹤壁市
xinxiang 新乡市
jiaozuo 焦作市
puyang 濮阳市
xuchang 许昌市
luohe 漯河市
sanmenxia 三门峡市
shangqiu 商丘市
zhoukou 周口市
zhumadian 驻马店市
nanyang 南阳市
xinyang 信阳市
wuhan 武汉市
huangshi 黄石市
shiyan 十堰市
yichang 宜昌市
xiangyang 襄阳市
ezhou 鄂州市
jingmen 荆门市
xiaogan 孝感市
jingzhou 荆州市
huanggang 黄冈市
xianning 咸宁市
suizhou 随州市
changsha 长沙市
zhuzhou 株洲市
xiangtan 湘潭市
hengyang 衡阳市
shaoyang 邵阳市
yueyang 岳阳市
changde 常德市
zhangjiajie 张家界市
yiyang 益阳市
loudi 娄底市
chenzhou 郴州市
yongzhou 永州市
huaihua 怀化市
guangzhou 广州市
shaoguan 韶关市
shenzhen 深圳市
zhuhai 珠海市
shantou 汕头市
foshan 佛山市
jiangmen 江门市
zhanjiang 湛江市
maoming 茂名市
zhaoqing 肇庆市
huizhou 惠州市
meizhou 梅州市
shanwei 汕尾市
heyuan 河源市
yangjiang 阳江市
qingyuan 清远市
dongguan 东莞市
zhongshan 中山市
chaozhou 潮州市
jieyang 揭阳市
yunfu 云浮市
nanning 南宁市
liuzhou 柳州市
guilin 桂林市
wuzhou 梧州市
beihai 北海市
chongzuo 崇左市
laibin 来宾市
hezhou 贺州市
yùlin 玉林市
baise 百色市
hechi 河池市
qinzhou 钦州市
fangchenggang 防城港市
guigang 贵港市
haikou 海口市
sanya 三亚市
sansha 三沙市
danzhou 儋州市
chengdu 成都市
mianyang 绵阳市
zigong 自贡市
panzhihua 攀枝花市
luzhou 泸州市
deyang 德阳市
guanyuan 广元市
suining 遂宁市
neijiang 内江市
leshan 乐山市
ziyang 资阳市
yibin 宜宾市
nanchong 南充市
dazhou 达州市
yaan 雅安市
guang'an 广安市
bazhong 巴中市
meishan 眉山市
guiyang 贵阳市
zunyi 遵义市
liupanshui 六盘水市
anshun 安顺市
bijie 毕节市
tongren 铜仁市
kunming 昆明市
qujing 曲靖市
yuxi 玉溪市
zhaotong 昭通市
baoshan 保山市
lijiang 丽江市
puer 普洱市
lincang 临沧市
lasa 拉萨市
shigatse 日喀则市
qamdo 昌都市
nyingchi 林芝市
lhoka 山南市
nagqu 那曲市
xian 西安市
baoji 宝鸡市
xianyang 咸阳市
tongchuan 铜川市
weinan 渭南市
yan'an 延安市
yúlin 榆林市
hanzhong 汉中市
ankang 安康市
shangluo 商洛市
lanzhou 兰州市
jiayuguan 嘉峪关市
jinchang 金昌市
baiyin 白银市
tianshui 天水市
wuwei 武威市
zhangye 张掖市
pingliang 平凉市
jiuquan 酒泉市
qingyang 庆阳市
dingxi 定西市
longnan 陇南市
xining 西宁市
haidong 海东市
yinchuan 银川市
shizuishan 石嘴山市
wuzhong 吴忠市
guyuan 固原市
zhongwei 中卫市
urumqi 乌鲁木齐市
karamay 克拉玛依市
turpan 吐鲁番市
hami 哈密市
STOP STOP
